Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Pok\xc3\xa9mon Platinum Version,DS,2008.0,Role-Playing,Nintendo,7.72,8.3,46.0,8.5,204.0
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,7.69,8.8,65.0,7.6,453.0
Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,7.68,8.3,39.0,5.7,1446.0
Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,7.54,9.7,87.0,9.1,1859.0
Call of Duty: World at War,X360,2008.0,Shooter,Activision,7.42,8.4,84.0,7.6,583.0
Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,7.41,8.7,58.0,6.5,4258.0
Battlefield 3,X360,2011.0,Shooter,Electronic Arts,7.33,8.4,57.0,7.4,2144.0
Uncharted 4: A Thiefs End,PS4,2016.0,Shooter,Sony Computer Entertainment,7.28,9.3,113.0,7.9,7238.0
Mario Kart 8,WiiU,2014.0,Racing,Nintendo,7.23,8.8,82.0,9.1,1607.0
Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,7.2,8.5,33.0,8.6,172.0
Just Dance,Wii,2009.0,Misc,Ubisoft,7.2,4.9,21.0,8.0,110.0
Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,7.18,8.5,38.0,7.5,1762.0
Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,7.16,9.6,15.0,9.1,371.0
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,7.16,9.5,73.0,9.0,1664.0
Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,7.13,9.1,12.0,8.9,439.0
Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,7.07,9.2,38.0,9.1,573.0
Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,6.9,8.2,39.0,8.6,132.0
Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,6.83,8.8,29.0,8.5,137.0
Just Dance 4,Wii,2012.0,Misc,Ubisoft,6.76,7.4,10.0,7.2,29.0
Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,6.75,9.3,90.0,7.7,2746.0
Uncharted 3: Drakes Deception,PS3,2011.0,Action,Sony Computer Entertainment,6.74,9.2,97.0,8.3,3732.0
Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,6.69,9.4,44.0,8.4,994.0
Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,6.67,9.6,105.0,8.8,5226.0
Big Brain Academy,DS,2005.0,Misc,Nintendo,6.63,7.4,45.0,7.4,27.0
Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,6.51,9.5,73.0,8.9,2475.0
FIFA 14,PS3,2013.0,Sports,Electronic Arts,6.48,8.6,37.0,4.3,576.0
Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,6.47,8.7,77.0,8.6,368.0
Assassins Creed III,PS3,2012.0,Action,Ubisoft,6.46,8.5,41.0,6.9,1314.0
Halo: Combat Evolved,X,2001.0,Shooter,Microsoft Game Studios,6.43,9.7,68.0,8.6,1292.0
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,6.42,9.2,16.0,6.4,2530.0
