Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
The LEGO Movie Videogame,WiiU,2014.0,Action,Warner Bros. Interactive Entertainment,0.64,6.8,5.0,7.7,25.0
Spyro: A Heros Tail,PS2,2004.0,Platform,Vivendi Games,0.64,6.0,16.0,8.0,44.0
Crash: Twinsanity,PS2,2004.0,Platform,Vivendi Games,0.64,6.4,38.0,8.0,132.0
Quantum Break,XOne,2016.0,Action,Microsoft Game Studios,0.64,7.7,106.0,6.8,1682.0
Drawn to Life: The Next Chapter,DS,2009.0,Puzzle,THQ,0.64,7.2,21.0,7.7,22.0
Max Payne 2: The Fall of Max Payne,X,2003.0,Shooter,Take-Two Interactive,0.64,8.4,34.0,8.2,50.0
GoldenEye: Rogue Agent,PS2,2004.0,Shooter,Electronic Arts,0.64,6.0,38.0,7.0,32.0
WWE 2K15,X360,2014.0,Sports,Take-Two Interactive,0.64,5.0,5.0,4.0,65.0
Star Ocean: First Departure,PSP,2007.0,Role-Playing,Square Enix,0.64,7.4,32.0,7.4,28.0
James Bond 007: Everything or Nothing,X,2004.0,Shooter,Electronic Arts,0.64,8.3,51.0,7.4,27.0
NHL 16,PS4,2015.0,Sports,Electronic Arts,0.64,7.8,28.0,5.5,158.0
X2: Wolverines Revenge,PS2,2003.0,Platform,Activision,0.64,5.8,24.0,7.2,13.0
NBA Live 06,X,2005.0,Sports,Electronic Arts,0.64,7.9,30.0,6.4,15.0
Rayman 3D,3DS,2011.0,Platform,Ubisoft,0.64,6.1,39.0,6.5,49.0
Football Manager 2014,PC,2013.0,Sports,Sega,0.64,8.5,41.0,5.5,277.0
TimeSplitters 2,X,2002.0,Shooter,Eidos Interactive,0.64,8.8,20.0,7.7,34.0
Onimusha: Dawn of Dreams,PS2,2006.0,Action,Capcom,0.64,8.1,45.0,8.9,63.0
Sengoku Basara: Samurai Heroes,PS3,2010.0,Action,Capcom,0.64,6.1,37.0,7.9,29.0
Stuntman: Ignition,X360,2007.0,Racing,THQ,0.64,7.5,38.0,7.3,31.0
Real Heroes: Firefighter,Wii,2009.0,Action,Rondomedia,0.64,6.7,18.0,8.2,10.0
Dead or Alive 5,PS3,2012.0,Fighting,Tecmo Koei,0.64,7.4,34.0,7.7,109.0
Paper Mario: Color Splash,WiiU,2016.0,Role-Playing,Nintendo,0.64,7.6,73.0,6.9,226.0
Dragon Ball: Raging Blast 2,X360,2010.0,Fighting,Namco Bandai Games,0.64,5.7,33.0,7.4,31.0
NHL 13,PS3,2012.0,Sports,Electronic Arts,0.64,8.4,22.0,6.8,60.0
Lemony Snickets A Series of Unfortunate Events,PS2,2004.0,Platform,Activision,0.64,6.3,25.0,5.7,12.0
Lost Planet: Extreme Condition,PS3,2008.0,Shooter,Capcom,0.64,6.7,34.0,7.0,36.0
X-Men Legends II: Rise of Apocalypse,PS2,2005.0,Role-Playing,Activision,0.63,8.2,44.0,7.3,41.0
LEGO Star Wars II: The Original Trilogy,X360,2006.0,Action,LucasArts,0.63,8.1,50.0,8.0,45.0
Rock Band 3,Wii,2010.0,Misc,MTV Games,0.63,9.1,10.0,6.9,36.0
Dragon Age II,PC,2011.0,Action,Electronic Arts,0.63,8.2,45.0,4.5,4546.0
Tony Hawks Pro Skater 2x,X,2001.0,Sports,Activision,0.63,7.8,24.0,8.8,5.0
NBA Live 08,PS3,2007.0,Sports,Electronic Arts,0.63,7.3,28.0,6.8,10.0
Shin Megami Tensei: Persona 3 Portable,PSP,2009.0,Role-Playing,Ghostlight,0.63,8.9,40.0,8.3,321.0
FIFA Soccer 2003,X,2002.0,Sports,Electronic Arts,0.63,8.8,11.0,7.7,11.0
The Lord of the Rings: Conquest,X360,2009.0,Action,Electronic Arts,0.63,5.5,58.0,7.0,111.0
NASCAR 06: Total Team Control,PS2,2005.0,Racing,Electronic Arts,0.63,7.8,18.0,7.7,18.0
Dogz,GBA,2004.0,Simulation,Ubisoft,0.63,4.8,9.0,6.3,13.0
White Knight Chronicles II,PS3,2010.0,Role-Playing,Sony Computer Entertainment,0.63,6.0,45.0,7.2,65.0
Iron Man,PSP,2008.0,Action,Sega,0.63,4.4,7.0,6.5,16.0
Wolfenstein,PS3,2009.0,Shooter,Activision,0.63,7.1,58.0,7.4,77.0
The Sims 3: Generations,PC,2011.0,Simulation,Electronic Arts,0.63,7.0,22.0,3.6,81.0
Juiced 2: Hot Import Nights,X360,2007.0,Racing,THQ,0.63,6.8,24.0,7.5,22.0
The Walking Dead: Survival Instinct,X360,2013.0,Shooter,Activision,0.63,3.2,30.0,4.0,412.0
Ape Escape 2,PS2,2002.0,Platform,Sony Computer Entertainment,0.63,8.2,31.0,8.4,33.0
Sega Rally Revo,PS3,2007.0,Racing,Sega,0.63,7.5,40.0,7.0,20.0
Shin Megami Tensei: Persona 3 FES,PS2,2007.0,Role-Playing,Tecmo Koei,0.63,8.9,25.0,8.3,298.0
Angry Birds Trilogy,3DS,2012.0,Action,Activision,0.63,6.2,7.0,4.6,20.0
FIFA Soccer 2002,PS2,2001.0,Sports,Electronic Arts,0.63,8.2,17.0,5.8,28.0
Condemned 2: Bloodshot,X360,2008.0,Action,Sega,0.63,8.0,76.0,8.4,178.0
Okami,PS2,2006.0,Action,Capcom,0.63,9.3,69.0,9.3,333.0
NHL 2001,PS,2000.0,Sports,Electronic Arts,0.63,8.8,10.0,7.7,7.0
Crysis 3,PC,2013.0,Shooter,Electronic Arts,0.63,7.6,47.0,6.5,1232.0
Just Dance 3,PS3,2011.0,Misc,Ubisoft,0.63,7.5,5.0,6.0,7.0
Buzz Lightyear of Star Command,PS,2000.0,Platform,Activision,0.63,5.4,10.0,5.4,5.0
Ghostbusters: The Video Game,X360,2009.0,Action,Atari,0.63,7.9,53.0,8.5,125.0
Tony Hawks Project 8,PS3,2006.0,Sports,Activision,0.63,7.6,43.0,7.1,15.0
XCOM: Enemy Unknown,X360,2012.0,Strategy,Take-Two Interactive,0.63,9.0,35.0,8.3,367.0
Metal Gear Solid 2: Substance,X,2002.0,Action,Konami Digital Entertainment,0.62,8.7,28.0,8.5,39.0
Tony Hawks American Wasteland,X,2005.0,Sports,Activision,0.62,7.7,40.0,7.7,15.0
Wild ARMs 3,PS2,2002.0,Role-Playing,Ubisoft,0.62,7.8,30.0,8.5,39.0
Madden NFL 07,GC,2006.0,Sports,Electronic Arts,0.62,8.2,14.0,9.2,5.0
Tiger Woods PGA Tour 2004,X,2003.0,Sports,Electronic Arts,0.62,8.9,18.0,8.2,14.0
Test Drive Unlimited 2,PS3,2011.0,Racing,Atari,0.62,7.0,43.0,6.1,44.0
Tak 2: The Staff of Dreams,PS2,2004.0,Platform,THQ,0.62,7.1,31.0,8.0,10.0
LEGO Pirates of the Caribbean: The Video Game,3DS,2011.0,Action,Disney Interactive Studios,0.62,7.1,16.0,7.3,20.0
Donkey Kong Barrel Blast,Wii,2007.0,Racing,Nintendo,0.62,4.6,34.0,6.8,26.0
Viewtiful Joe,GC,2003.0,Action,Capcom,0.62,9.3,52.0,8.3,117.0
Guitar Hero: Metallica,PS3,2009.0,Misc,Activision,0.62,8.6,44.0,8.0,48.0
The Urbz: Sims in the City,GBA,2004.0,Simulation,Electronic Arts,0.62,7.2,6.0,9.2,25.0
Strike Force Bowling,PS2,2004.0,Sports,Play It,0.62,4.8,14.0,6.8,4.0
Red Steel 2,Wii,2010.0,Shooter,Ubisoft,0.62,8.0,73.0,8.5,179.0
Scribblenauts: Unlimited,3DS,2012.0,Action,Warner Bros. Interactive Entertainment,0.62,7.3,13.0,7.4,21.0
DJ Hero 2,Wii,2010.0,Misc,Activision,0.62,8.8,20.0,7.5,17.0
Disney Infinity,WiiU,2013.0,Action,Disney Interactive Studios,0.62,7.1,10.0,7.6,58.0
XGRA: Extreme G-Racing Association,PS2,2004.0,Racing,Eidos Interactive,0.62,6.8,23.0,8.6,8.0
Warriors Orochi 3,PS3,2011.0,Action,Ubisoft Annecy,0.62,7.0,17.0,7.9,35.0
Prince of Persia: The Forgotten Sands,X360,2010.0,Action,Ubisoft,0.62,7.4,69.0,7.8,112.0
2014 FIFA World Cup Brazil,PS3,2014.0,Sports,Electronic Arts,0.62,7.3,33.0,4.3,87.0
Plants vs. Zombies: Garden Warfare,PS4,2014.0,Shooter,Electronic Arts,0.62,7.5,23.0,7.6,261.0
Borderlands: The Pre-Sequel,PS3,2014.0,Shooter,Take-Two Interactive,0.62,7.7,24.0,6.3,130.0
Tiger Woods PGA Tour 12: The Masters,X360,2011.0,Sports,Electronic Arts,0.62,8.0,50.0,6.0,26.0
Wall-E,X360,2008.0,Platform,THQ,0.62,5.0,32.0,6.3,6.0
NieR,PS3,2010.0,Role-Playing,Square Enix,0.62,6.8,58.0,8.4,268.0
Harry Potter and the Half-Blood Prince,DS,2009.0,Action,Electronic Arts,0.62,4.8,9.0,4.3,7.0
NBA 2K9,PS3,2008.0,Sports,Take-Two Interactive,0.61,8.2,30.0,7.0,37.0
Jak and Daxter: The Lost Frontier,PSP,2009.0,Platform,Sony Computer Entertainment,0.61,7.1,47.0,6.3,28.0
NFL Fever 2003,X,2002.0,Sports,Microsoft Game Studios,0.61,7.2,25.0,8.6,12.0
Wet,PS3,2009.0,Shooter,Bethesda Softworks,0.61,7.0,61.0,6.4,56.0
Samurai Warriors 2,PS2,2006.0,Action,Tecmo Koei,0.61,5.8,26.0,8.8,13.0
Cooking Mama 4: Kitchen Magic!,3DS,2011.0,Simulation,505 Games,0.61,5.6,6.0,6.0,7.0
Kinect Sports Rivals,XOne,2014.0,Sports,Microsoft Game Studios,0.61,6.0,53.0,5.1,144.0
Fire Emblem: Shadow Dragon,DS,2008.0,Role-Playing,Nintendo,0.61,8.1,42.0,7.0,106.0
Metroid Prime: Trilogy,Wii,2009.0,Shooter,Nintendo,0.61,9.1,48.0,9.3,318.0
Robotech: Battlecry,PS2,2002.0,Shooter,TDK Mediactive,0.61,7.2,20.0,8.5,8.0
Disney Universe,PS3,2011.0,Action,Disney Interactive Studios,0.61,7.0,29.0,6.9,13.0
Tearaway,PSV,2013.0,Adventure,Sony Computer Entertainment Europe,0.61,8.7,82.0,8.8,393.0
Advance Wars: Days of Ruin,DS,2008.0,Strategy,Nintendo,0.61,8.6,55.0,8.7,96.0
Time Crisis 3,PS2,2003.0,Shooter,Namco Bandai Games,0.61,8.1,29.0,8.1,12.0
Texas Hold Em Poker,GBA,2004.0,Misc,Majesco Entertainment,0.61,4.9,7.0,6.8,6.0
Vanquish,PS3,2010.0,Shooter,Sega,0.61,8.4,61.0,8.1,305.0
Half-Life 2,X,2005.0,Shooter,Electronic Arts,0.61,9.0,35.0,8.6,115.0
Tony Hawk: RIDE,X360,2009.0,Sports,Activision,0.61,4.6,43.0,3.0,67.0
Major League Baseball 2K8,X360,2008.0,Sports,Bethesda Softworks,0.61,7.0,28.0,5.9,34.0
Sacred 2: Fallen Angel,PS3,2009.0,Role-Playing,Deep Silver,0.61,7.0,45.0,7.0,52.0
pro evolution soccer 2011,X360,2010.0,Sports,Konami Digital Entertainment,0.61,7.9,43.0,5.9,33.0
Major League Baseball 2K9,X360,2009.0,Sports,Spike,0.61,6.4,29.0,5.3,26.0
Dragon Ball Z: Ultimate Tenkaichi,PS3,2011.0,Fighting,Namco Bandai Games,0.61,5.8,26.0,5.4,77.0
WWE 2K16,XOne,2015.0,Sports,Take-Two Interactive,0.61,7.2,18.0,5.7,77.0
Final Fantasy IV Advance,GBA,2005.0,Role-Playing,Nintendo,0.61,8.5,30.0,7.4,72.0
Harry Potter and the Goblet of Fire,GBA,2005.0,Action,Electronic Arts,0.61,7.1,9.0,6.0,8.0
Dragon Ball Z: Buus Fury,GBA,2004.0,Action,Atari,0.61,6.2,19.0,8.9,39.0
Madden NFL 2002,GC,2001.0,Sports,Electronic Arts,0.61,8.9,12.0,7.5,4.0
Spider-Man: Mysterios Menace,GBA,2001.0,Action,Activision,0.61,8.4,8.0,8.7,11.0
MySims Racing,DS,2009.0,Racing,Electronic Arts,0.61,6.7,11.0,7.3,4.0
Pac-Man Party,Wii,2010.0,Misc,Namco Bandai Games,0.61,5.9,14.0,5.9,8.0
Naruto: Ultimate Ninja,PS2,2003.0,Fighting,Atari,0.61,7.5,34.0,7.7,35.0
LEGO The Hobbit,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.6,7.2,47.0,6.6,88.0
Tony Hawks Underground,GBA,2003.0,Sports,Activision,0.6,8.6,9.0,7.7,9.0
Shadow The Hedgehog,PS2,2005.0,Platform,Sega,0.6,4.5,28.0,5.9,138.0
Plants vs. Zombies: Garden Warfare 2,XOne,2016.0,Shooter,Electronic Arts,0.6,8.0,64.0,8.0,81.0
NHL 15,PS4,2014.0,Sports,Electronic Arts,0.6,6.0,28.0,3.6,307.0
Wave Race: Blue Storm,GC,2001.0,Racing,Nintendo,0.6,8.0,21.0,8.3,29.0
Aliens: Colonial Marines,PS3,2013.0,Shooter,Sega,0.6,4.3,25.0,3.5,297.0
Dead Island: Riptide,PS3,2013.0,Action,Deep Silver,0.6,6.2,25.0,5.9,142.0
Backyard Wrestling: Dont Try This at Home,PS2,2003.0,Fighting,Eidos Interactive,0.6,5.1,24.0,7.8,29.0
Yakuza: Dead Souls,PS3,2011.0,Shooter,Sega,0.6,6.4,55.0,7.4,69.0
Fight Night Round 2,X,2005.0,Fighting,Electronic Arts,0.6,8.8,48.0,8.8,27.0
NBA 2K8,PS2,2007.0,Sports,Take-Two Interactive,0.6,7.2,7.0,6.0,9.0
Dynasty Warriors 8,PS3,2013.0,Action,Tecmo Koei,0.6,6.8,26.0,8.4,77.0
Total War: Shogun 2,PC,2011.0,Strategy,Sega,0.6,9.0,62.0,8.3,1187.0
Just Dance 2014,WiiU,2013.0,Misc,Ubisoft,0.6,7.2,13.0,7.6,45.0
Secret Agent Clank,PS2,2009.0,Platform,Sony Computer Entertainment,0.6,6.1,9.0,6.7,14.0
Call of Juarez: Bound in Blood,X360,2009.0,Shooter,Ubisoft,0.6,7.7,77.0,7.6,94.0
Fighters Uncaged,X360,2010.0,Fighting,Ubisoft,0.6,3.2,38.0,4.6,23.0
Rayman Arena,PS2,2001.0,Racing,Ubisoft,0.6,6.3,10.0,8.6,8.0
Jaws Unleashed,PS2,2006.0,Action,THQ,0.6,5.2,29.0,7.5,39.0
Half-Life,PS2,2001.0,Shooter,Vivendi Games,0.6,8.7,24.0,8.6,94.0
Okami,Wii,2008.0,Action,Capcom,0.6,9.0,44.0,8.9,236.0
Split/Second,X360,2010.0,Racing,Disney Interactive Studios,0.6,8.2,78.0,8.1,101.0
The Golden Compass,DS,2007.0,Action,Sega,0.6,4.3,7.0,4.9,8.0
The Golden Compass,Wii,2007.0,Action,Sega,0.6,3.5,12.0,6.8,6.0
Muramasa: The Demon Blade,Wii,2009.0,Role-Playing,Rising Star Games,0.6,8.1,58.0,8.7,101.0
Rocket League,PS4,2016.0,Sports,505 Games,0.6,8.5,50.0,8.7,1302.0
Tony Hawk: RIDE,PS3,2009.0,Sports,Activision,0.6,4.4,29.0,2.1,31.0
Guitar Hero Live,XOne,2015.0,Misc,Activision,0.6,8.1,21.0,5.2,71.0
SimCity DS,DS,2007.0,Simulation,Electronic Arts,0.6,6.9,27.0,6.3,18.0
Hot Wheels: Stunt Track Challenge,PS2,2004.0,Racing,THQ,0.59,6.2,8.0,8.1,8.0
Assassins Creed: Brotherhood,PC,2011.0,Action,Ubisoft,0.59,8.8,24.0,8.2,1115.0
Monopoly,X360,2008.0,Misc,Electronic Arts,0.59,5.6,9.0,5.8,17.0
Dead Space,PC,2008.0,Action,Electronic Arts,0.59,8.6,28.0,8.0,1111.0
Medal of Honor: Frontline,GC,2002.0,Shooter,Electronic Arts,0.59,8.0,16.0,7.9,16.0
NHL 11,PS3,2010.0,Sports,Electronic Arts,0.59,8.8,38.0,7.1,54.0
Yakuza 5,PS3,2012.0,Action,Sega,0.59,8.3,34.0,8.5,182.0
2002 FIFA World Cup,PS2,2002.0,Sports,Electronic Arts,0.59,7.3,19.0,5.6,18.0
MVP Baseball 2004,X,2004.0,Sports,Electronic Arts,0.59,9.0,31.0,8.5,19.0
Crash Bandicoot: The Wrath of Cortex,GC,2002.0,Platform,Universal Interactive,0.59,6.2,11.0,7.5,25.0
NBA 2K7,X360,2006.0,Sports,Take-Two Interactive,0.59,8.4,46.0,7.8,67.0
Dead or Alive Xtreme Beach Volleyball,X,2003.0,Sports,Microsoft Game Studios,0.59,7.3,42.0,7.8,47.0
Silent Hill: Shattered Memories,PS2,2010.0,Action,Konami Digital Entertainment,0.59,7.7,8.0,6.8,83.0
Metal Gear Solid V: Ground Zeroes,PS3,2014.0,Action,Konami Digital Entertainment,0.59,6.6,5.0,5.9,244.0
Blur,X360,2010.0,Racing,Activision,0.59,8.2,78.0,8.3,169.0
Madden NFL 06,X360,2005.0,Sports,Electronic Arts,0.59,7.4,48.0,4.8,45.0
Asphalt: Urban GT,DS,2004.0,Racing,Ubisoft,0.59,6.0,38.0,7.5,13.0
Mega Man Anniversary Collection,PS2,2004.0,Platform,Capcom,0.59,8.1,26.0,9.0,20.0
Skylanders SWAP Force,WiiU,2013.0,Platform,Activision,0.59,8.9,7.0,6.0,96.0
Harvest Moon: Friends of Mineral Town,GBA,2003.0,Simulation,Ubisoft,0.59,8.1,25.0,9.6,116.0
Farming Simulator 17,PS4,2016.0,Simulation,Focus Home Interactive,0.59,6.9,18.0,8.0,13.0
Naruto: The Broken Bond,X360,2008.0,Action,Ubisoft,0.59,8.0,34.0,7.7,47.0
WarioWare D.I.Y.,DS,2009.0,Misc,Nintendo,0.59,8.2,53.0,8.7,39.0
Iron Man,Wii,2008.0,Action,Sega,0.59,4.4,14.0,7.0,8.0
The Fight: Lights Out,PS3,2010.0,Fighting,Sony Computer Entertainment,0.59,4.8,39.0,7.5,77.0
Deus Ex: Human Revolution,PC,2011.0,Shooter,Square Enix,0.58,9.0,52.0,8.5,3083.0
Mega Man X7,PS2,2003.0,Action,Capcom,0.58,5.8,30.0,5.1,38.0
MLB 11: The Show,PS3,2011.0,Sports,Sony Computer Entertainment,0.58,9.0,30.0,7.8,87.0
The LEGO Movie Videogame,XOne,2014.0,Action,Warner Bros. Interactive Entertainment,0.58,6.9,18.0,6.9,49.0
Final Fantasy Anniversary Edition,PSP,2007.0,Role-Playing,Square Enix,0.58,6.7,34.0,7.7,47.0
SoulCalibur V,X360,2012.0,Fighting,Namco Bandai Games,0.58,7.7,56.0,6.3,125.0
FIFA Soccer,PSV,2012.0,Sports,Electronic Arts,0.58,7.9,45.0,7.1,80.0
Romancing SaGa,PS2,2005.0,Role-Playing,Square Enix,0.58,5.8,23.0,8.0,35.0
Lost: Via Domus,X360,2008.0,Action,Ubisoft,0.58,5.5,50.0,6.4,58.0
Top Spin 3,Wii,2008.0,Action,Take-Two Interactive,0.58,6.8,18.0,5.7,29.0
Game Party in Motion,X360,2010.0,Misc,Warner Bros. Interactive Entertainment,0.58,3.3,6.0,3.7,9.0
The Lord of the Rings: The Third Age,PS2,2004.0,Role-Playing,Electronic Arts,0.58,7.3,35.0,8.2,60.0
Call of Duty: Black Ops,DS,2010.0,Shooter,Activision,0.58,7.4,13.0,6.0,54.0
Just Dance 2016,WiiU,2015.0,Misc,Ubisoft,0.58,7.3,7.0,6.9,11.0
NCAA Football 09,PS3,2008.0,Sports,Electronic Arts,0.58,8.1,20.0,7.3,25.0
Kinect Rush: A Disney Pixar Adventure,X360,2012.0,Adventure,Microsoft Game Studios,0.58,6.8,31.0,5.1,15.0
Guitar Hero: Smash Hits,Wii,2009.0,Misc,Activision,0.58,7.4,17.0,7.7,6.0
Terminator 3: Rise of the Machines,PS2,2003.0,Action,Atari,0.58,3.8,21.0,6.3,23.0
Alice: Madness Returns,PS3,2011.0,Adventure,Electronic Arts,0.58,7.0,51.0,7.9,181.0
Tom Clancys HAWX,X360,2009.0,Action,Ubisoft,0.58,7.3,64.0,7.3,51.0
Shin Megami Tensei IV,3DS,2013.0,Role-Playing,Atlus,0.58,8.3,48.0,8.3,256.0
NHL 12,PS3,2011.0,Sports,Electronic Arts,0.58,8.6,33.0,7.5,52.0
NASCAR: Dirt to Daytona,PS2,2002.0,Racing,Monster Games,0.58,8.4,10.0,8.8,19.0
Unreal Tournament,PS2,2000.0,Shooter,Infogrames,0.58,7.7,23.0,6.8,13.0
Digimon World 2,PS,2000.0,Role-Playing,Namco Bandai Games,0.58,4.2,5.0,7.6,47.0
Prince of Persia: The Two Thrones,X,2005.0,Action,Ubisoft,0.58,8.5,46.0,8.4,28.0
XCOM: Enemy Unknown,PS3,2012.0,Strategy,Take-Two Interactive,0.58,8.9,20.0,8.2,298.0
JoJos Bizarre Adventure: All Star Battle,PS3,2013.0,Fighting,Namco Bandai Games,0.58,7.1,53.0,8.3,55.0
Contra: Shattered Soldier,PS2,2002.0,Shooter,Konami Digital Entertainment,0.58,7.8,33.0,6.6,25.0
Skylanders: Spyros Adventure,3DS,2011.0,Action,Activision,0.58,8.2,8.0,4.9,62.0
Rune Factory 4,3DS,2012.0,Role-Playing,Xseed Games,0.58,7.8,33.0,8.2,124.0
Final Fantasy: The 4 Heroes of Light,DS,2009.0,Role-Playing,Square Enix,0.58,7.1,49.0,7.1,38.0
Rayman Legends,PS3,2013.0,Platform,Ubisoft,0.58,9.1,23.0,8.7,312.0
Tenchu 2: Birth of the Stealth Assassins,PS,2000.0,Action,Activision,0.58,7.7,14.0,8.7,32.0
Tony Hawks Pro Skater 4,GC,2002.0,Sports,Activision,0.58,9.1,19.0,8.5,22.0
Naruto: Uzumaki Chronicles 2,PS2,2006.0,Action,Namco Bandai Games,0.58,5.2,22.0,6.9,17.0
NHL 06,PS2,2005.0,Sports,Electronic Arts,0.58,7.8,27.0,8.5,29.0
WWE 2K15,XOne,2014.0,Sports,Take-Two Interactive,0.58,5.6,25.0,5.7,63.0
Parasite Eve II,PS,1999.0,Role-Playing,SquareSoft,0.58,7.9,14.0,9.0,79.0
Skate it,Wii,2008.0,Sports,Electronic Arts,0.58,7.0,37.0,8.4,25.0
Madden NFL 2002,X,2001.0,Sports,Electronic Arts,0.58,9.0,16.0,8.1,8.0
Phineas and Ferb: Across the 2nd Dimension,Wii,2011.0,Action,Disney Interactive Studios,0.58,7.6,4.0,8.3,6.0
Far Cry Instincts,X,2005.0,Shooter,Ubisoft,0.57,8.5,56.0,5.7,73.0
Tony Hawks Pro Skater 4,GBA,2002.0,Sports,Activision,0.57,8.5,13.0,8.8,4.0
ATV Offroad Fury: Blazin Trails,PSP,2005.0,Racing,SouthPeak Games,0.57,6.3,32.0,7.8,16.0
Tales of the Abyss,PS2,2005.0,Role-Playing,Namco Bandai Games,0.57,7.8,22.0,8.4,109.0
Payday 2,X360,2013.0,Shooter,505 Games,0.57,7.5,18.0,6.3,203.0
Pro Evolution Soccer 2012,PSP,2011.0,Action,Konami Digital Entertainment,0.57,7.4,4.0,6.3,8.0
Blacksite: Area 51,X360,2007.0,Shooter,Midway Games,0.57,6.2,48.0,6.1,65.0
Spyro Orange: The Cortex Conspiracy,GBA,2004.0,Action,Vivendi Games,0.57,6.0,25.0,7.0,12.0
The Sims 3: World Adventures,PC,2009.0,Simulation,Electronic Arts,0.57,8.1,31.0,8.0,72.0
Madden NFL 06,GC,2005.0,Sports,Electronic Arts,0.57,8.6,21.0,8.5,11.0
BlazBlue: Calamity Trigger,PS3,2009.0,Fighting,PQube,0.57,8.7,50.0,8.4,112.0
Final Fantasy Explorers,3DS,2014.0,Role-Playing,Square Enix,0.57,6.9,57.0,6.9,89.0
Iron Man,X360,2008.0,Action,Sega,0.57,4.5,43.0,5.9,53.0
Naruto: Ultimate Ninja 2,PS2,2004.0,Fighting,Namco Bandai Games,0.57,7.3,27.0,7.9,28.0
Mario Party: Star Rush,3DS,2016.0,Misc,Nintendo,0.57,6.8,38.0,6.6,18.0
NHL 10,PS3,2009.0,Sports,Electronic Arts,0.57,8.8,35.0,7.9,40.0
Rock Band 3,PS3,2010.0,Misc,MTV Games,0.57,9.1,34.0,8.0,95.0
Blood Wake,X,2001.0,Shooter,Microsoft Game Studios,0.57,7.1,30.0,7.5,13.0
Dynasty Warriors 5: Xtreme Legends,PS2,2005.0,Action,Tecmo Koei,0.57,5.7,22.0,9.1,26.0
Titanfall,PC,2014.0,Shooter,Electronic Arts,0.57,8.6,29.0,6.2,1733.0
LEGO Dimensions,WiiU,2015.0,Action,Warner Bros. Interactive Entertainment,0.57,6.2,5.0,6.5,29.0
FIFA World Cup Germany 2006,PS2,2006.0,Sports,Electronic Arts,0.57,7.7,28.0,8.1,33.0
Wreckless: ThE YaKuza MisSiOns,X,2002.0,Racing,Activision,0.57,7.4,36.0,5.2,13.0
Defiance,X360,2013.0,Shooter,Trion Worlds,0.57,6.0,27.0,7.2,249.0
Disgaea 4: A Promise Unforgotten,PS3,2011.0,Role-Playing,Nippon Ichi Software,0.57,8.0,39.0,7.8,127.0
Doom 3 BFG Edition,PS3,2012.0,Shooter,Bethesda Softworks,0.57,6.7,16.0,6.4,108.0
SpongeBob SquarePants: Battle for Bikini Bottom,X,2003.0,Platform,THQ,0.57,7.0,8.0,8.9,17.0
The Conduit,Wii,2009.0,Shooter,Sega,0.57,6.9,79.0,8.2,258.0
Spider-Man 3,X360,2007.0,Platform,Activision,0.57,6.3,61.0,7.0,54.0
Up,Wii,2009.0,Action,THQ,0.57,6.2,6.0,8.0,4.0
Disney Universe,X360,2011.0,Action,Disney Interactive Studios,0.57,6.6,31.0,5.3,13.0
Top Spin 3,PS3,2008.0,Action,Take-Two Interactive,0.57,7.5,36.0,7.5,20.0
RalliSport Challenge,X,2002.0,Racing,Microsoft Game Studios,0.57,8.7,32.0,8.3,19.0
Resident Evil Outbreak File #2,PS2,2004.0,Action,Capcom,0.57,5.8,35.0,7.7,71.0
XIII,PS2,2003.0,Shooter,Ubisoft,0.57,7.3,37.0,8.6,35.0
Tomb Raider: Anniversary,PSP,2007.0,Action,Eidos Interactive,0.57,7.8,32.0,8.2,28.0
3D Dot Game Heroes,PS3,2009.0,Role-Playing,SouthPeak Games,0.57,7.7,66.0,8.1,97.0
Breath of Fire IV,PS,2000.0,Role-Playing,Capcom,0.56,8.3,10.0,8.9,47.0
True Crime: Streets of LA,GC,2003.0,Action,Activision,0.56,7.7,29.0,7.3,29.0
Odin Sphere,PS2,2007.0,Role-Playing,Square Enix,0.56,8.3,49.0,8.6,60.0
The Legend of Spyro: Dawn of the Dragon,Wii,2008.0,Platform,Vivendi Games,0.56,6.4,11.0,6.5,19.0
Arena Football,PS2,2006.0,Sports,Electronic Arts,0.56,6.6,18.0,8.6,14.0
The Lord of the Rings: The Return of the King,GBA,2003.0,Action,Electronic Arts,0.56,7.7,13.0,8.2,11.0
NHL Hitz 20-02,PS2,2001.0,Sports,Midway Games,0.56,7.8,18.0,7.6,8.0
Classic NES Series: Dr. Mario,GBA,2004.0,Puzzle,Nintendo,0.56,6.6,10.0,7.5,6.0
The Sims: Bustin Out,X,2003.0,Simulation,Electronic Arts,0.56,8.1,26.0,8.9,12.0
NCAA March Madness 07,PS2,2007.0,Sports,Electronic Arts,0.56,6.3,9.0,8.6,7.0
"Warhammer 40,000: Space Marine",X360,2011.0,Shooter,THQ,0.56,7.6,57.0,7.8,233.0
"Monsters, Inc. Scream Team",PS,2001.0,Platform,Sony Computer Entertainment,0.56,6.5,10.0,6.9,8.0
Top Spin 3,X360,2008.0,Action,Take-Two Interactive,0.56,7.8,47.0,7.6,36.0
Cabelas Big Game Hunter 2005 Adventures,PS2,2004.0,Sports,Activision,0.56,5.5,4.0,8.4,16.0
LEGO Rock Band,X360,2009.0,Misc,Warner Bros. Interactive Entertainment,0.56,7.1,50.0,7.2,31.0
