Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Game_Score
Wii Sports,Wii,2006.0,Sports,Nintendo,82.54,7.6,51.0,8.0,324.0,29.13926497310965
Mario Kart Wii,Wii,2008.0,Racing,Nintendo,35.57,8.2,73.0,8.3,712.0,26.819141577920316
Wii Sports Resort,Wii,2009.0,Sports,Nintendo,32.78,8.0,73.0,8.0,193.0,25.951583339002198
New Super Mario Bros.,DS,2006.0,Platform,Nintendo,29.81,8.9,65.0,8.5,433.0,25.84330723518495
Wii Play,Wii,2006.0,Misc,Nintendo,28.92,5.8,41.0,6.6,129.0,19.741967882296095
New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,28.38,8.7,80.0,8.4,595.0,27.10492717332853
Mario Kart DS,DS,2005.0,Racing,Nintendo,23.22,9.1,64.0,8.6,465.0,25.123349146045097
Wii Fit,Wii,2007.0,Sports,Nintendo,22.7,8.0,63.0,7.7,146.0,23.47704444504618
Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,21.86,6.1,45.0,6.3,106.0,20.01559455593497
Wii Fit Plus,Wii,2009.0,Sports,Nintendo,21.79,8.0,33.0,7.4,52.0,21.61672184432567
Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,21.12,9.7,50.0,8.2,4009.0,28.08087331685024
Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,20.81,9.5,80.0,9.0,1606.0,27.05350632761109
Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,20.15,7.7,58.0,7.9,50.0,22.356016741484538
Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,16.3,9.7,58.0,8.1,3722.0,27.76724590138937
Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,16.15,9.5,62.0,8.7,736.0,24.162924911514438
Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,15.29,7.7,37.0,7.1,19.0,19.726739079759586
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,14.98,9.5,54.0,8.4,314.0,22.76529933512724
Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,14.77,8.8,81.0,3.4,8715.0,26.344863463839378
Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,14.67,8.7,89.0,6.3,1456.0,24.84295115386963
Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,13.79,8.3,21.0,5.3,921.0,19.367528941877413
Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,13.69,8.3,73.0,4.8,2261.0,22.893484576967964
Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,13.48,9.4,100.0,6.3,2702.0,26.50782030020193
Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,13.36,9.7,66.0,8.3,2955.0,27.872020793142564
Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,13.32,8.8,39.0,3.2,5237.0,21.230238834718733
Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,13.1,9.7,56.0,8.5,667.0,23.16213889260303
Mario Kart 7,3DS,2011.0,Racing,Nintendo,13.04,8.5,73.0,8.2,633.0,25.10522748468247
Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,12.87,9.3,81.0,8.9,1667.0,26.900505737298868
Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,12.64,8.8,58.0,6.4,1095.0,22.671195575567577
Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,12.13,8.6,57.0,8.6,243.0,22.94812654188773
Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,12.12,9.4,86.0,7.8,4109.0,27.430932320398835
Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,11.66,8.9,74.0,8.5,273.0,23.880462735546523
Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,11.36,9.7,73.0,8.9,2159.0,26.653420140782153
